Sentences,
are you free today,
are you hiding something,
bring water for me,
can i help you,
can you repeat that please,
comb your hair,
congratulations,
could you please talk slower,
do me a favour,
do not abuse him,
do not be stubborn,
do not hurt me,
do not make me angry,
do not take it to the heart,
do not worry,
do you need something,
go and sleep,
had your food,
he came by train,
He is going into the room,
he is on the way,
he she is my friend,
he would be coming today,
help me,
hi how are you,
how are things,
how can i help you,
how can i trust you,
how dare you,
how old are you,
i am (age),
i am afraid of that,
i am crying,
i am feeling bored,
i am feeling cold,
i am fine. thank you sir,
i am hungry,
i am in dilemma what to do,
i am not really sure,
i am really grateful,
i am sitting in the class,
i am so sorry to hear that,
i am suffering from fever,
i am tired,
i am very happy,
i can not help you there,
i do not agree,
i do not like it,
i do not mean it,
i dont agree,
i enjoyed a lot,
i got hurt,
i like you i love you,
i need water,
i promise,
i really appreciate it,
i somehow got to know about it,
i was stopped by some one,
it does not make any difference to me,
it was nice chatting with you,
let him take time,
my name is xxxxxxxx,
nice to meet you,
No need to worry dont worry,
now onwards he will never hurt you,
pour some more water into the glass,
prepare the bed,
serve the food,
shall we go outside,
speak softly,
take care of yourself,
tell me truth,
thank you so much,
that is so kind of you,
This place is beautiful,
try to understand,
turn on light turn off light,
we are all with you,
wear the shirt,
what are you doing,
what did you tell him,
what do you do,
what do you think,
what do you want to become,
what happened,
what have you planned for your career,
what is your phone number,
what you want,
when will the train leave,
where are you from,
which college / school are you from,
who are you,
why are you angry,
why are you crying,
why are you disappointed,
you are bad,
you are good,
you are welcome,
you can do it,
"you do anything, i do not care",
"you need a medicine, take this one"